host,stellar_r,stellar_m,inj_period,inj_rp_earth,inj_rp_rs,inj_depth_ppm,inj_impact,inj_snr,n_transits,rec_period,rec_sde,rec_depth_ppm,tls_recovered,clf_probability,clf_recovered,error
TIC 461387302,1.26669,1.287,1.576497337938196,0.8,0.005790209127726595,40.95453974017893,0.1,1.0465087615378483,15,7.160308321432443,4.2099701190686964,332.5530874378479,0,0.07778990148673946,0,
TIC 461387302,1.26669,1.287,1.576497337938196,0.8,0.005790209127726595,38.59948497086929,0.5,0.9863301960938295,15,7.160308321432443,4.138338676986758,330.24167116058044,0,0.07272425024903068,0,
TIC 461387302,1.26669,1.287,1.576497337938196,1.5,0.010856642114487364,144.03201342494398,0.1,3.680440921748773,15,7.160308321432443,4.314741453790618,345.42954797922573,0,0.088006576355027,0,
TIC 461387302,1.26669,1.287,1.576497337938196,1.5,0.010856642114487364,135.80726434614388,0.5,3.4702744291689434,15,1.576203307397519,6.7273507210850845,226.73353202462553,0,0.049037441019711955,0,
TIC 461387302,1.26669,1.287,1.576497337938196,2.5,0.018094403524145607,399.9479959836405,0.1,10.21984582446086,15,1.576203307397519,10.956723822119201,393.5976965482313,1,0.052409063669719924,0,
TIC 461387302,1.26669,1.287,1.576497337938196,2.5,0.018094403524145607,377.17871246212286,0.5,9.638023763942607,15,1.576203307397519,10.02888037402659,391.4638510951196,1,0.06792011608285169,0,
TIC 461387302,1.26669,1.287,1.576497337938196,4.0,0.028951045638632975,1023.7772129987333,0.1,26.160514318144635,15,1.576203307397519,13.945583006096792,1005.86394706903,1,0.306422139837909,0,
TIC 461387302,1.26669,1.287,1.576497337938196,4.0,0.028951045638632975,965.3889894216671,0.5,24.668523737083753,15,1.576203307397519,15.562309971897973,956.291033081591,1,0.2801572758992465,0,
TIC 461387302,1.26669,1.287,1.576497337938196,6.0,0.043426568457949455,2303.9745716134653,0.1,58.87331638569083,15,1.576203307397519,21.177185837116333,2250.3164268143914,1,0.21198307065375854,0,
TIC 461387302,1.26669,1.287,1.576497337938196,6.0,0.043426568457949455,2172.222188171369,0.5,55.50665607158702,15,1.576203307397519,21.8982611400589,2056.833589832441,1,0.2861611616742512,0,
TIC 461387302,1.26669,1.287,1.576497337938196,9.0,0.06513985268692418,5182.467276761083,0.1,132.42725827029332,15,1.576203307397519,29.330370893215484,5416.552656269613,1,0.31635924947964783,0,
TIC 461387302,1.26669,1.287,1.576497337938196,9.0,0.06513985268692418,4882.001168501016,0.5,124.74946682557945,15,1.576203307397519,28.619785192636442,4855.1483973166,1,0.3236840482168369,0,
TIC 461387302,1.26669,1.287,1.576497337938196,13.0,0.09409089832555716,10808.801727488548,0.1,276.1966263399345,15,1.576203307397519,31.78310079731277,10378.4052121485,1,0.48004297449384564,0,
TIC 461387302,1.26669,1.287,1.576497337938196,13.0,0.09409089832555716,10183.151188938644,0.5,260.2094177323622,15,1.576203307397519,32.067769333705535,10087.898229502624,1,0.6744757613916433,1,
TIC 461387302,1.26669,1.287,2.365869810955864,0.8,0.005790209127726595,40.969339820784434,0.1,0.9130362391355292,10,0.8362397275500181,4.299090905485326,152.9686009189568,0,0.035074691796575935,0,
TIC 461387302,1.26669,1.287,2.365869810955864,0.8,0.005790209127726595,38.627579936223455,0.5,0.8608481480578862,10,0.8362397275500181,4.153168401778473,179.8550039459057,0,0.044230902527770975,0,
TIC 461387302,1.26669,1.287,2.365869810955864,1.5,0.010856642114487364,144.03339194191122,0.1,3.209905433278673,10,0.8362397275500181,4.09847590496451,157.27572379742315,0,0.040157760554171675,0,
TIC 461387302,1.26669,1.287,2.365869810955864,1.5,0.010856642114487364,135.80710979188558,0.5,3.026575808022746,10,0.8160516344224125,4.160574722601133,150.77841658128756,0,0.03491111826550075,0,
TIC 461387302,1.26669,1.287,2.365869810955864,2.5,0.018094403524145607,400.0479341889074,0.1,8.915405103024778,10,2.363278566285218,11.36956728045282,491.33046862992467,1,0.06402956706515947,0,
